359 428 535 1617 2848
subscription 0 0 1 0 2
correspond 0 1 1 0 1
excluded. 0 0 1 0 1
Industry, 0 0 3 0 1
"Capital 0 0 2 0 0
inter-releated 0 0 1 0 0
"Unless 0 0 1 0 0
linkages 0 0 1 0 0
extent, 0 0 2 0 1
"We'll 1 1 1 0 0
go," 0 0 1 0 0
fronts 0 0 1 0 0
competitiveness 4 1 3 1 0
"level 0 0 2 0 0
playing 2 0 2 0 0
field" 0 0 2 0 0
problem" 0 0 1 0 0
"our 0 0 1 0 1
growth." 0 0 2 0 1
"Japan 0 0 2 0 0
Dept 0 0 1 0 0
Ortner. 0 0 1 0 0
sponsored 0 0 2 1 1
proper 0 3 2 2 1
end," 0 0 1 1 1
equalizer." 0 0 1 0 0
resort 2 1 3 1 0
tactics 0 0 1 3 0
poses 0 0 1 0 0
dangers. 0 0 1 0 0
"there's 0 0 1 0 0
legislate 0 0 1 0 0
problem." 0 0 1 0 1
Protectionist 0 0 1 0 0
provoke 0 0 1 0 0
retaliation 0 2 4 0 0
retaliate 0 1 2 2 0
legislation," 0 0 1 0 0
solving 0 0 1 0 0
INTERMEDICS 0 0 0 2 2
&lt;ITM> 0 0 0 2 2
Bessemer 0 0 0 2 0
Cilluffo 0 0 0 2 0
Intermedics 0 0 0 4 2
84,300 0 0 0 1 0
18-April 0 0 0 1 0
QUALIFY 0 0 0 0 4
System's 0 0 0 0 1
reason, 0 0 0 1 1
Huntington 1 0 0 0 1
235 0 0 0 1 2
pass 0 1 2 0 3
payers. 0 0 0 0 1
cnt 0 0 0 0 2
881,000 0 0 0 0 1
291,000 0 0 0 0 1
366,000 0 0 0 0 2
147,000 0 0 0 0 2
respectivley. 0 0 0 0 1
&lt;MERIDIAN 0 0 0 1 0
ENERGY>, 0 0 0 1 0
CASTONE 0 0 0 1 0
&lt;Meridian 0 0 0 2 0
Castone 0 0 0 1 0
Meridian 0 0 0 4 0
Castone. 0 0 0 1 0
&lt;GEL> 0 0 0 2 2
Gelco 0 0 0 18 2
fees, 0 0 0 0 3
Gelco's 0 0 0 3 1
TOWLE 0 0 0 0 2
&lt;QTOW> 0 0 0 0 2
8.63 0 0 0 0 1
42.1 0 0 0 0 3
4.71 0 0 0 0 3
22.0 0 0 0 0 3
114.6 0 0 0 0 4
221.8 0 0 0 0 2
4,910,330 0 0 0 0 1
4,851,650 0 0 0 0 1
CENTERRE 0 0 0 2 0
&lt;CTBC> 0 0 0 2 0
BENEFIT 0 0 0 1 3
Centerre 0 0 0 3 0
Mo., 0 1 0 1 0
designing 0 0 1 1 0
administering 0 0 0 1 0
moderately 0 0 1 1 0
fulfilment 0 1 0 1 0
membership, 0 1 1 0 0
re-exports 0 1 0 0 0
&lt;QMED> 0 0 0 0 1
463,473 0 0 0 0 1
126,835 0 0 0 0 1
3,506,066 0 0 0 0 1
3,082,499 0 0 0 0 1
323,214 0 0 0 0 1
187,893 0 0 0 0 1
INTERNMATIONAL 0 0 0 0 1
Patrick 0 4 1 1 3
Ryan 0 0 0 0 8
specifically. 0 0 0 0 1
4.84 0 0 0 0 1
Combined's 0 0 0 0 1
AIDS-related 0 0 0 1 2
"minimal" 0 0 0 0 2
conceded 0 0 1 1 1
vulnerable. 0 1 0 0 2
CODENOLL 0 0 0 0 1
&lt;CODN> 0 0 0 0 1
484,556 0 0 0 0 1
620,607 0 0 0 0 1
2,167,631 0 0 0 0 1
1,062,837 0 0 0 0 1
3,985,924 0 0 0 0 1
3,935,969 0 0 0 0 1
2,468,605 0 0 0 0 1
1,788,406 0 0 0 0 1
6,603,285 0 0 0 0 1
4,650,585 0 0 0 0 1
3,983,692 0 0 0 0 1
3,446,348 0 0 0 0 1
COLORADO 0 0 0 1 5
IF 0 0 3 1 0
NECESSARY 0 0 3 0 0
necessary, 0 1 8 1 0
Sumita's 0 0 3 0 0
148.40. 0 0 3 0 0
inevitable 2 0 4 0 0
BAYER 0 0 0 0 2
CONFIDENT 0 0 0 1 1
&lt;BAYG.F> 0 0 0 0 1
mark's 0 0 2 0 1
pressure. 1 0 1 0 1
materialise 0 0 1 0 1
3.30 1 0 1 0 4
3.15 0 2 0 0 2
10-mark 0 0 0 0 1
non-operating 0 0 0 0 4
improvement. 0 0 0 0 1
40.75 0 0 0 0 1
45.93 0 0 0 0 1
translation 0 0 0 0 2
distorted 0 0 0 1 1
America," 0 0 0 1 1
16.77 0 0 0 0 1
Capacity 1 0 0 0 1
Plastics, 0 0 0 0 1
polyurethanes 0 0 0 0 1
coating 0 0 0 0 1
9.67 0 0 0 0 2
10.43 0 0 0 0 1
3.69 0 0 0 0 3
DENIES 0 2 3 1 0
EXISTS 0 0 2 0 0
aired 0 0 2 0 0
yesterday: 0 0 2 0 0
desired 0 0 3 0 0
saying: 1 0 2 0 0
"extremely 0 0 2 0 1
widening 1 1 4 1 1
disturbing. 0 0 2 0 0
strong," 1 0 2 0 1
sort 1 0 2 4 1
struggle 1 0 2 1 0
U.S.) 0 0 2 1 0
1930s," 0 0 2 0 0
defusing 0 0 2 0 0
protectionism, 0 0 2 0 0
solved 0 0 2 0 0
alone. 0 0 3 0 0
approach," 0 0 2 0 0
Imports. 0 0 2 0 0
YIELD 0 1 1 0 0
mid-April, 1 1 0 1 0
empty 0 3 0 0 1
yield. 1 2 0 0 0
hectares. 0 6 0 0 0
intense, 0 1 0 0 0
Where 0 1 1 0 0
mm, 0 1 0 0 0
sunflower, 0 2 0 0 0
damaged. 1 1 0 0 0
interrupted 0 1 0 0 0
Rios. 0 1 0 0 0
floods. 0 1 0 0 0
spell 2 4 0 0 0
sunshine 0 2 0 0 0
dries 0 1 0 0 0
Sunflowerseed 0 5 0 0 0
advancing 0 1 2 1 0
sown. 0 1 0 0 0
FCS 0 0 0 10 0
&lt;FCSI> 0 0 0 3 0
banker, 0 0 1 3 1
Butcher 0 0 0 1 0
healthcare 0 0 0 1 2
aspects 1 2 1 5 2
defined, 0 0 0 1 0
1,888,000 0 0 0 0 1
7,365,000 0 0 0 0 1
5,877,000 0 0 0 0 1
7,005,000 0 0 0 0 1
4,866,000 0 0 0 0 1
263,000 0 0 0 0 1
2,073,000 0 0 0 0 1
RACING 0 0 0 0 1
&lt;SJR> 0 0 0 0 1
915,911 0 0 0 0 1
970,141 0 0 0 0 1
3rd 0 0 0 0 6
extraordainry 0 0 0 0 1
341,145 0 0 0 0 1
480,412 0 0 0 0 1
TREASURY, 0 0 1 0 0
JORDAN'S 0 0 1 0 0
PRIORITIES 0 0 1 0 0
Jordan's 2 0 2 0 1
priorities 2 0 1 0 0
Zeid 0 0 1 0 0
al-Rifa'i 0 0 1 0 0
"First, 0 0 1 0 0
shape 0 0 2 0 0
priority 2 0 5 0 1
(the) 0 0 1 0 0
commitments." 0 0 1 0 0
Rifa'i 0 0 2 0 0
government-guaranteed 0 0 1 0 0
902 0 0 1 0 0
dinars 0 0 4 0 3
dinar, 0 0 1 0 0
overvalued. 0 0 2 0 0
stability," 2 1 2 0 1
Jordan. 0 0 1 0 0
1978, 0 2 2 2 0
Algeria, 1 2 1 0 0
Iraq, 1 2 1 0 0
Libya, 2 0 1 0 1
Israel. 0 0 1 0 0
obligations, 0 0 1 0 3
&lt;MIRTONE 0 0 0 0 1
407,396 0 0 0 0 1
376,243 0 0 0 0 1
5,341,353 0 0 0 0 1
4,292,819 0 0 0 0 1
&lt;TIE/TELECOMMUNICATIONS 0 0 0 0 1
556,000 0 0 0 0 2
1,586,000 0 0 0 0 1
90.8 0 0 0 0 3
103.1 0 0 0 0 1
Previous 0 1 0 0 1
404,000 0 0 0 0 1
991,000 0 0 0 0 1
TIE/communications 0 0 0 0 1
DEFENDING 2 0 0 0 0
SUBROTO 7 0 0 0 0
Jakarta 8 0 0 0 0
(mln) 2 0 0 0 0
stated. 2 1 0 0 0
June. 7 3 1 1 3
then," 3 0 0 0 0
Differentials 3 0 0 0 0
REAFFIRMING 0 0 1 0 0
reafffirm 0 0 1 0 0
STERIVET 0 0 0 0 2
&lt;STVTF> 0 0 0 0 2
Sterivet 0 0 0 0 2
IVORY 0 1 0 0 0
Ivory 0 1 0 0 0
decades 0 2 0 0 1
aims 0 2 1 0 2
rapidly," 0 1 0 0 0
Fraternite 0 1 0 0 0
Matin 0 1 0 0 0
&lt;SFE> 0 0 0 2 0
Coherent 0 0 0 2 0
TeleSystems 0 0 0 1 0
&lt;CQ>. 0 0 0 1 0
SCHWEIZERHALLE 0 0 0 0 1
FIRE 0 0 0 0 2
SANDOZ 0 0 0 0 2
Sandoz 0 0 0 1 7
&lt;SANZ.Z> 0 0 0 0 2
"close 0 0 0 0 1
figures" 0 0 0 0 1
Schweizerhalle, 0 0 0 0 1
Rhine. 0 0 0 0 1
541 0 0 0 0 2
529 0 0 0 0 2
fuller 0 0 0 0 1
adequately 0 0 0 0 1
insured 0 0 0 3 2
accident. 2 0 0 0 2
pct" 0 0 0 0 1
somehow 0 0 0 0 1
gestures 0 0 1 0 1
fire. 0 1 0 0 1
bordering 1 1 0 0 1
comments." 0 0 0 0 1
Ciba-Geigy 0 0 0 0 2
&lt;CIGZ.Z>, 0 0 0 0 1
8.36 1 0 0 0 2
francs,the 0 0 0 0 1
15.95 0 0 0 0 1
Hoffmann-La 0 0 0 0 1
&lt;HOFZ.Z> 0 0 0 0 1
INTERIORS 0 0 0 0 1
&lt;STHF> 0 0 0 0 1
Interiors 0 0 0 0 1
snowstorms 0 0 0 0 1
Stanely 0 0 0 1 1
AMOUNT 0 0 2 1 0
149.60 0 0 2 0 0
BLASIUS 0 0 0 0 1
&lt;BLAS> 0 0 0 0 1
2,421,000 0 0 0 0 1
1,602,000 0 0 0 0 1
639,000 0 0 0 0 2
34.6 0 0 0 0 5
1,928,000 0 0 0 0 1
1,620,000 0 0 0 0 1
415,000 0 0 0 0 2
185,000 1 0 0 0 4
FAIRCHILD 0 0 0 9 4
RETAIL 0 0 0 3 1
INTERESTS 1 0 0 5 0
Martin's 0 0 0 1 0
Gordon 0 0 0 4 0
Drummond 0 0 0 1 3
pharmacies, 0 0 0 1 0
7-Eleven 0 0 0 1 1
Richter 0 0 0 2 0
Nature's 0 0 0 1 0
Best/DSL. 0 0 0 1 0
beer 0 0 0 1 0
brands. 0 0 0 1 0
Gleneagles, 0 0 0 1 0
Champneys, 0 0 0 1 0
Cranks, 0 0 0 1 0
Hediard 0 0 0 1 0
publications. 0 0 0 1 0
323p 0 0 0 1 0
317p. 0 0 0 1 0
Ito 0 0 0 2 0
Kokusai 0 0 0 2 0
CHEVRON 1 0 0 0 0
&lt;CHV>, 1 0 0 0 0
FORM 1 0 0 1 1
Tokyo-based 1 0 1 0 0
leaseholds 1 0 0 1 0
onshore 6 0 0 3 0
Kansas, 1 1 0 1 0
Mississippi, 1 1 0 0 0
Montana, 1 0 0 0 0
Dakota, 1 0 0 0 0
Wyoming, 1 0 0 1 0
Outer 1 0 0 0 0
Shelf 1 0 0 0 3
Stabilization 0 7 0 0 0
eligibility 0 2 0 0 0
programs. 0 3 0 1 1
Sitter, 0 1 0 0 0
ASCS's 0 1 0 0 0
Support 0 1 0 1 0
persons 0 3 0 2 0
Sitter 0 1 0 0 0
ASCA 0 1 0 0 0
Administrator 0 3 0 0 0
Milton 0 2 0 0 0
Hertz 0 4 0 0 0
workloads 0 1 0 0 0
ASCS 0 15 0 0 0
"have 0 1 0 1 0
determinations 0 1 0 0 0
entities, 0 2 0 1 0
partnerships, 0 1 0 1 0
preparation 0 2 1 2 2
imposing 0 1 0 0 0
50,000-dlr-per-entity 0 1 0 0 0
cap." 0 1 0 0 0
workload 0 1 0 0 0
Program," 0 1 0 0 0
LLOYDS 0 0 0 0 1
mandatory 0 1 0 1 2
6,375,000 0 0 0 0 1
113,000 0 0 0 0 2
&lt;DPCZ> 0 0 0 0 1
Sigi 0 0 0 0 1
Ziering 0 0 0 0 6
compound 0 2 0 0 3
annal 0 0 0 0 1
past," 0 0 0 1 1
immunological 0 0 0 0 1
kits. 0 0 0 0 1
penetration. 0 0 0 2 1
abuse 0 0 0 1 1
kits 0 0 0 1 1
GENZYME 0 0 0 0 1
&lt;GENZ> 0 0 0 0 1
2,410,000 0 0 0 0 3
3,264,000 0 0 0 0 1
8,743,000 0 0 0 0 1
5,507,000 0 0 0 0 1
41,300 0 0 0 0 1
2,840,000 0 0 0 0 1
9,767,000 0 0 0 0 2
7,497,000 0 0 0 0 1
589,000 0 0 0 0 1
TURNER 0 0 0 0 1
&lt;TEQ> 0 0 0 0 1
CLOTHES 0 0 0 0 1
&lt;EGL> 0 0 0 0 1
2nD 0 0 0 0 1
36.2 0 0 0 0 2
ADVO-SYSTEM 0 0 0 0 1
&lt;ADVO> 0 0 0 0 1
BREAK-EVEN 0 0 0 0 2
ADVO-System 0 0 0 0 1
ADVO 0 0 0 0 1
OESTERREICHISCHE 0 0 0 0 1
877.4 0 0 0 0 1
715.5 0 0 0 0 1
Cons 0 0 0 1 3
gp 0 0 0 0 3
239.7 0 0 0 0 1
227.3 0 0 0 0 1
AEQUITRON 0 0 0 0 2
&lt;AQTN> 0 0 0 0 2
Aequitron 0 0 0 0 1
Boulder, 0 0 0 0 1
Colo, 0 0 0 1 1
Minneapolis. 0 1 0 1 1
engineers. 0 0 0 0 1
381 0 0 0 0 1
diminish 0 0 0 0 1
506 0 0 0 0 4
452 0 0 0 0 4
246-1/2p, 0 0 0 0 1
UNLIKELY 2 2 1 0 0
BROADEN 0 1 0 0 0
erodible 0 2 0 0 0
cropland 0 3 0 0 0
Grassley 0 1 0 0 0
(R-Iowa) 0 1 0 0 0
"How 0 2 0 0 0
tide," 0 1 0 0 0
ICELAND 0 0 0 1 0
PRIVATISE 0 0 0 1 0
UTVEGSBANKI 0 0 0 1 0
Icelandic 0 0 0 1 0
privatise 0 0 0 3 0
Utvegsbanki, 0 0 0 1 0
largest. 0 0 0 2 0
Utvegsbanki 0 0 0 1 0
Halldor 0 0 0 1 0
Gudbjarnarson 0 0 0 1 0
WEIGHS 0 0 0 1 0
&lt;C>. 0 0 0 1 1
COMSTOCK 0 0 0 0 1
&lt;CSTK> 0 0 0 0 1
3,012,000 0 0 0 0 2
2,114,000 0 0 0 0 1
102.8 0 0 0 0 1
134.9 0 0 0 0 2
354.9 0 0 0 0 1
469.2 0 0 0 0 1
JEFFERIES 0 0 0 2 0
92-1/2 0 0 0 1 0
95. 0 0 0 1 0
&lt;AVA>. 0 0 0 1 0
&lt;NOMA 0 0 0 0 1
328.7 0 0 0 0 1
239.8 0 0 0 0 1
COOPER 0 0 0 4 3
MUST 2 2 2 1 0
&lt;Cooper 0 0 0 2 0
entertain 0 0 0 2 0
MACANDREWS 0 0 0 1 0
FORBES 0 0 0 3 0
McAndrews 0 0 0 3 0
18.50 0 0 0 3 1
14-3/4. 0 0 0 1 0
concluded. 0 1 0 1 0
PRESIDENTIAL 0 0 0 1 2
&lt;UPCO> 0 0 0 1 1
1,545,160 0 0 0 0 1
2,188,933 0 0 0 0 1
6,635,318 0 0 0 0 1
5,050,044 0 0 0 0 1
92.2 0 0 0 0 3
77.4 0 0 0 0 2
848,600 0 0 0 0 1
universal 0 0 0 0 1
RECOTON 0 0 0 0 1
&lt;RCOT> 0 0 0 0 1
384,000 0 0 0 0 5
8,367,000 0 0 0 0 2
9,909,000 0 0 0 0 2
518,000 0 0 0 0 1
1,547,000 0 0 0 0 1
302,000 0 0 0 0 1
602,000 0 0 0 0 1
HELP, 0 0 1 0 0
FACILITIES 0 0 1 0 1
206 0 0 1 0 0
shortage, 0 0 1 0 0
243 0 0 1 0 0
HI-SHEAR 0 0 0 0 2
&lt;HSI> 0 0 0 0 2
1,647,000 0 0 0 0 1
4,787,000 0 0 0 0 1
8,748,000 0 0 0 0 1
53.0 0 0 0 0 3
1,761,000 0 0 0 0 1
3,820,000 0 0 0 0 1
STABILIZED 0 0 2 0 0
12-MAR-1987 2 0 0 0 4
&lt;BNL> 0 0 0 3 0
Beneficial 0 0 0 10 0
Centennial 0 0 0 3 0
Department. 0 2 0 5 0
sharing 4 1 0 2 5
Delaware, 0 0 0 2 3
H 0 0 0 1 4
R 0 0 0 2 2
BLOCK 0 0 0 1 1
&lt;HRB> 0 0 0 0 1
REFORM 0 0 0 1 3
away, 0 1 0 0 1
taxpayers 1 0 0 0 2
converging 0 0 0 0 1
Block 2 0 0 0 10
interpret 0 1 0 0 1
codes. 0 0 0 0 1
preparer 0 0 0 0 1
"bonanza," 0 0 0 0 1
confusion, 0 0 0 0 1
Bloch 0 0 0 0 5
"When 1 0 0 1 1
preparers 0 0 0 0 2
benefit," 0 0 0 0 1
"Next 0 0 0 0 2
'I'm 0 0 0 0 1
help,'" 0 0 0 0 1
"Tax 0 0 0 0 1
Kidder 0 0 0 7 5
Buchbinder 0 0 0 0 2
Block's 0 0 0 0 4
30) 0 0 0 0 1
606.7 0 0 0 0 1
bonanza," 1 0 0 0 1
prepared, 0 0 0 0 1
9,215,300 0 0 0 0 1
Internal 1 0 0 0 3
forms. 0 0 0 1 1
Professional 0 0 0 2 1
forms, 0 0 0 2 1
IRS. 0 0 0 0 1
8,866 0 0 0 0 1
Certain 0 0 0 0 1
return, 0 0 0 0 2
cases, 1 1 0 0 1
simplify 0 0 0 0 1
earners 0 0 0 0 1
rolls, 0 1 0 0 1
analyzing 0 0 0 1 1
negatives. 0 0 0 0 1
48.05 0 0 0 0 1
45.73 0 0 0 0 1
expansion" 0 0 0 0 1
feeds 0 0 0 0 1
IRS 0 0 0 0 3
IRS, 0 0 0 0 1
26,000 1 1 0 0 4
Jonathan 0 0 0 3 1
Braatz 0 0 0 0 2
ads. 0 0 0 0 1
bang 0 0 0 0 1
buck," 0 0 0 0 1
sheet, 0 0 1 1 2
federally 0 0 0 1 1
Madison, 0 0 0 0 1
4,267,871 0 0 0 0 1
3,695,465 0 0 0 0 1
572,406 0 0 0 0 1
43.294 0 0 0 0 1
6.706 0 0 0 0 1
AFFECT 2 1 0 0 0
OUTLOOK-ECOPETROL 1 0 0 0 0
rebel 1 0 0 0 0
pipelines 2 0 0 1 1
camps 1 0 0 1 0
bonanza, 1 0 0 0 0
Franciso 1 0 0 0 0
Chona, 1 0 0 0 0
subversion 1 0 0 0 0
Rafael 2 0 0 0 1
Samudio, 1 0 0 0 0
Guillermo 1 0 0 0 0
upsurge 1 0 0 0 0
leftist 1 0 0 0 0
guerrilla 1 0 0 0 0
oil-rich 1 0 0 0 0
Arauca 1 0 0 0 0
Venezuela. 1 0 0 0 0
Retired 1 0 0 0 0
Carlos 3 0 0 0 0
Narvaez, 1 0 0 0 0
collaborating 1 0 0 0 0
Samudio 2 0 0 0 0
effective. 1 0 0 0 0
attacks, 1 0 0 0 0
wave 3 0 2 0 2
Repeated 1 0 0 0 0
Limon 1 0 0 0 0
HILTON 0 0 0 1 2
&lt;HLT> 0 0 0 0 2
Hotels 0 0 0 9 3
Mottek 0 0 0 0 1
all-suite 0 0 0 0 2
Initial 1 0 0 0 1
Later, 0 0 0 1 1
Hilton, 0 0 0 0 2
venture, 0 0 0 1 2
ATLANTIC 0 0 0 2 9
&lt;NATT> 0 0 0 0 1
681,000 0 0 0 0 1
1,613,000 0 0 0 0 1
842,000 0 1 0 0 1
2,557,000 0 0 0 0 1
FERRUZZI 0 0 0 5 0
Agricola 0 0 0 2 0
Finanziara 0 0 0 1 0
authorisations. 0 0 0 1 0
employing 0 0 0 2 0
by-products 0 0 0 1 0
cereals. 0 1 0 1 0
agro-industrial 0 0 0 2 0
soya 0 1 0 1 0
cake, 0 0 0 1 0
trader. 0 0 0 1 0
uses 0 2 0 1 1
fuel. 0 0 0 1 0
Raul 0 0 0 3 0
Gardini, 0 0 0 3 0
INTENDS 1 0 0 0 0
baseless, 1 0 0 0 0
Tehran 8 0 0 0 0
radio, 1 0 0 0 0
monitored 3 1 1 0 0
BBC, 1 0 0 0 0
interference 2 0 0 1 0
Moslems 1 0 0 0 0
Weinberger, 1 0 0 1 0
broadcast, 1 0 0 0 0
lanes 1 0 0 0 0
anti-ship 8 0 0 0 0
posed 1 1 2 0 0
Chinese-made 6 0 0 0 0
"Silkworm" 4 0 0 0 0
"misleading 1 0 0 0 0
propaganda." 1 0 0 0 0
tension." 1 0 0 0 0
what's 2 0 0 0 0
freedom 4 1 2 1 2
navigation 5 0 0 1 0
waterway." 1 0 0 0 0
aren't 1 0 0 0 0
disclosures 1 0 0 1 0
happen, 1 0 0 0 0
sympathetic 2 0 0 0 0
listening 1 0 0 0 0
warship 3 0 0 0 0
unusual. 1 0 0 0 0
Navy 5 0 0 1 0
Kitty 3 0 0 0 0
Hawk 2 0 0 1 0
Genova 0 0 0 4 0
&lt;Genova 0 0 0 2 0
Genova's 0 0 0 1 0
COMMTRON 0 0 0 0 1
&lt;CMR> 0 0 0 0 1
1,574,000 0 0 0 0 1
1,725,000 0 0 0 0 1
104.2 0 0 0 0 1
3,675,000 0 0 0 0 1
2,925,000 0 0 0 0 3
244.5 0 0 0 0 1
230.6 0 0 0 0 1
NEGOTIATES 1 0 0 0 0
Earthquake-stricken 1 0 0 0 0
ruputured 1 0 0 0 0
tremor. 2 0 0 0 0
finalizing 2 0 0 0 0
export. 1 0 0 0 0
446 0 0 1 0 0
227 0 0 2 0 0
bottling 0 0 0 3 0
GenCorp, 0 0 0 4 0
licenses. 0 0 0 2 0
headquarter 0 0 0 1 0
Akron, 0 0 0 7 0
Ohio. 0 0 0 2 0
tires 0 0 0 5 0
promissory 0 0 0 4 3
"confident 0 0 0 1 0
materials." 0 0 0 1 0
forsee 0 0 0 1 0
obstacles 0 2 2 3 0
transaction," 0 0 0 4 0
SOUTHLIFE 0 0 0 0 1
&lt;SLHC> 0 0 0 0 1
347,855 0 0 0 0 1
787,117 0 0 0 0 1
6,748,868 0 0 0 0 1
6,849,499 0 0 0 0 1
5,391,666 0 0 0 0 1
4,277,157 0 0 0 0 1
2,617,528 0 0 0 0 1
2,003,661 0 0 0 0 1
4,763,793 0 0 0 0 1
3,377,157 0 0 0 0 1
925,576 0 0 0 0 1
577,389 0 0 0 0 1
1,776,341 0 0 0 0 1
797,932 0 0 0 0 1
BOWNE 0 0 0 0 1
&lt;BNE> 0 0 0 0 1
Bowne 0 0 0 0 1
ARGENTINA-BRAZIL 0 1 0 0 0
JUMPED 0 1 0 0 0
Dante 0 1 0 0 0
Caputo 0 2 0 0 0
"tangible 0 1 0 0 0
results" 0 1 0 0 1
wide- 0 1 0 0 0
presidents 0 1 0 0 0
1,375,000 0 1 0 0 0
HYPONEX 0 0 0 0 1
&lt;HYPX> 0 0 0 0 1
5,130,000 0 0 0 0 1
7,236,000 0 0 0 0 1
91.9 0 0 0 0 1
&lt;OXOCO 0 0 0 0 1
6.68 0 0 0 0 2
9.95 0 0 0 0 1
53.9 0 0 2 0 1
8,329,492 0 0 0 0 1
7,271,668 0 0 0 0 1
compressor 0 0 0 2 1
extinguishment 0 0 0 0 3
chapter 0 0 0 1 3
DST 0 0 0 0 1
&lt;DSTS> 0 0 0 0 1
GIVES 0 0 1 2 0
CHANCE 0 0 1 0 1
VERIFY 0 0 1 0 0
verify 0 1 1 0 0
attend, 0 0 1 0 0
boycotted 0 0 1 0 0
G-5 0 0 11 0 0
said- 0 0 1 0 0
"Nobody 0 0 1 0 0
denies 0 0 1 0 0
existence 0 0 1 1 1
remembered 0 0 1 0 0
enlargement 0 0 1 0 0
dealt 0 2 2 0 0
with.'" 0 0 1 0 0
G-5, 0 0 2 0 0
grouping 0 0 1 1 0
stamping 0 0 1 0 0
"certain 0 0 1 0 0
occur." 0 0 1 0 0
opportune 0 0 1 0 0
G-5. 0 0 1 0 0
Firmer 2 0 0 0 0
packages 1 0 1 1 0
downturn, 2 0 0 0 1
dismal 1 0 0 0 0
highs. 2 0 0 0 0
culminating 1 0 0 0 1
painted 1 0 0 1 0
bleak 3 0 0 0 0
picture 1 0 1 4 0
snap 1 0 1 0 0
shot 1 0 0 1 0
Exchange's 1 2 0 0 0
4065.4 1 0 0 0 0
3053.15 1 0 0 0 0
&lt;XON>, 7 0 0 0 0
71, 1 0 0 0 0
34-3/4. 2 0 0 1 0
40-1/2, 1 0 0 0 0
18-3/4. 1 0 0 0 0
&lt;TXC>, 1 0 0 0 0
&lt;TX>, 2 0 0 0 0
24-1/2. 1 0 0 0 0
Levesque 1 0 0 0 0
Beaubien 1 0 0 0 1
Plexman 2 0 0 0 0
3.24 1 0 0 0 1
barrel...1987 1 0 0 0 0
higher," 3 0 1 1 0
significant," 1 0 0 0 0
needed. 2 0 2 1 1
Maciej 4 0 0 0 0
outweighing 1 0 0 0 0
&lt;Norcen 1 0 0 0 1
positive, 1 0 1 0 0
robust," 1 0 0 0 0
sustainable, 1 0 0 0 0
likely," 1 0 0 0 0
uncertainty, 1 0 1 0 1
pared 1 0 0 0 0
deferring 1 0 0 0 1
frontier 1 0 0 0 0
investments, 2 1 1 1 1
cautious, 1 0 0 0 0
unexpected," 1 0 0 0 0
Association's 1 1 1 0 0
goverment 1 1 0 0 0
(PGRT) 1 0 0 0 0
PGRT 2 0 0 0 0
brake 1 0 2 0 0
cuts, 1 0 2 0 0
absolutely 1 1 2 1 0
SOUTHLAND 2 0 0 0 0
&lt;SLC> 2 0 0 0 0
Southland 3 0 0 0 0
Petrleum 1 0 0 0 0
Citgo's 2 0 0 0 0
dlrs/bbl, 4 0 0 0 0
16.00. 1 0 0 0 0
ARGENTINA 0 1 0 0 0
UNAFFECTED 0 1 0 0 0
BRAZIL'S 1 1 0 0 0
customers," 0 1 0 0 0
Agriculture, 0 3 0 0 0
Livestock 0 2 0 1 0
Fisheries 0 3 0 0 0
Braceras 0 2 0 0 0
Sao 2 1 0 0 0
Paulo. 0 1 0 0 0
Argentina. 0 2 0 0 0
REMAIN 1 1 0 1 0
Portugal 0 5 0 0 0
challenged 1 1 0 5 1
eligible, 0 2 0 0 0
matter. 0 1 0 1 0
SPEED 0 0 0 1 0
Fleet. 0 0 0 1 0
Lougee, 0 0 0 1 0
Island-based 0 0 0 2 0
possiblity 0 1 0 1 1
reciprocal 0 0 0 4 0
legislature. 0 0 0 1 0
consummated 0 1 0 1 0
consummate 0 0 0 3 0
concerned," 0 0 1 2 0
Lougee 0 0 0 3 0
knowledge 0 2 2 1 0
hardship 4 0 1 1 0
optimstic 0 0 0 1 0
amended. 0 0 0 1 0
Bancorp. 0 0 0 1 0
spin 0 0 0 6 1
gobbled 0 1 0 1 0
giants. 0 0 0 1 0
Albany, 0 0 0 2 0
N.Y.-based 0 0 0 1 0
demonstrates 0 0 0 1 0
legislatures 0 0 0 1 0
begain 0 0 0 1 0
permitting 0 0 0 7 2
mid-1985 0 0 0 1 0
mergers. 0 0 0 2 0
companies." 0 0 0 6 0
theirs 0 0 0 1 1
59-1/2, 0 0 0 1 0
1/8, 0 0 0 1 0
&lt;SPC> 0 0 0 5 0
Seattle's 0 0 0 1 0
Rainier 0 0 0 5 0
Bancorpartion 0 0 0 1 0
&lt;RBAN>. 0 0 0 1 0
&lt;CHL> 0 0 0 2 1
Pacific-Rainer 0 0 0 1 0
&lt;WFC> 0 0 0 2 0
Crocker 0 0 0 1 0
700-800 0 0 0 1 0
equals," 0 0 0 1 0
Rooney 0 0 0 2 0
Moseley 0 0 0 1 0
19.63 0 0 0 1 0
Kiernan 0 0 0 2 0
60's 0 0 0 1 0
40's. 0 0 0 1 0
post. 0 0 0 1 0
Thaddeus 0 0 0 1 0
Paluszek 0 0 0 1 0
"teriffic 0 0 0 1 0
reputation" 0 0 0 1 0
innovator 0 0 0 1 0
securitization 0 0 0 1 0
mortgages. 0 0 0 1 1
City. 0 0 0 2 0
combined. 0 0 0 1 0
"lock-up" 0 0 0 1 0
acquirers. 0 0 0 2 0
COMPROMISE 0 0 0 1 0
