crude grain money-fx acq earn
VENEZUELA 9 0 0 0 1
Ill., 0 2 0 7 1
rand 0 0 1 0 9
L.P., 0 0 0 10 0
&lt;XON> 7 0 0 3 0
committee. 2 2 2 4 0
KUWAIT 10 0 0 0 0
saying. 5 1 1 3 0
escort 10 0 0 0 0
region, 4 2 1 0 3
backed 1 1 5 3 0
recapitalization 0 0 0 3 7
bottom 2 1 2 0 5
goods. 0 1 7 2 0
Schlumberger 1 0 0 9 0
IRAN 10 0 0 0 0
1.70 1 2 2 0 5
73,000 0 2 0 1 7
severance 1 0 0 5 4
Fiscal 0 0 1 0 9
newspapers 5 0 0 3 2
ENGLAND 0 0 7 0 3
PIK 0 10 0 0 0
Dan 0 10 0 0 0
comply 0 0 0 8 2
210,000 6 3 0 0 1
Arabia's 8 0 1 0 1
1982. 3 4 0 0 3
secure 4 0 1 3 2
lessen 5 1 1 3 0
urging 3 4 1 2 0
depletion 10 0 0 0 0
non-performing 2 0 0 1 7
slowed 3 3 2 1 1
37.8 0 0 0 2 8
bearish 2 1 6 1 0
Venture 0 0 0 10 0
Renault 0 0 0 9 1
STERLING 1 0 6 1 2
VOTE 0 1 0 7 2
mines 5 0 0 4 1
Today 2 0 3 0 5
post-split 0 0 0 0 10
pays 2 3 1 1 3
difficulties. 2 0 2 3 3
minus 1 7 2 0 0
stabilizing 4 0 6 0 0
39.4 0 0 0 1 9
24. 0 0 1 3 6
three, 1 1 3 2 3
injunction 1 0 0 9 0
Investor 0 0 0 10 0
promised 1 2 4 3 0
prefer 1 2 2 4 1
20.4 0 0 1 1 8
18.8 0 0 0 2 8
15.1 0 1 0 1 8
SUSPENDS 1 1 3 0 5
assistance. 1 1 8 0 0
community 2 0 0 5 3
agencies 1 2 0 5 2
27.1 0 0 0 0 10
postings 10 0 0 0 0
27.9 0 1 0 1 8
absence 0 2 4 1 3
REXNORD 0 0 0 9 1
&lt;REX> 0 0 0 9 1
Rexnord 0 0 0 10 0
Commonwealth 0 0 0 8 2
Equity 0 2 0 6 2
SOSNOFF 0 0 0 10 0
decree 2 0 2 6 0
1982, 2 2 0 3 3
Franklin 0 0 0 1 9
Insured 0 0 0 0 10
convert 0 0 0 4 6
respective 0 1 3 2 4
shows 6 2 0 0 2
loans, 0 0 2 2 6
competitor 0 1 0 8 1
yr-ago 0 0 0 0 10
LIKELY 1 4 3 2 0
exploration. 9 0 0 1 0
Federation 1 1 2 5 1
damaging 3 0 5 2 0
Planning 0 0 5 5 0
25.7 0 2 0 1 7
Gasoline 9 1 0 0 0
147 0 0 4 0 6
measures, 4 0 5 0 1
units. 0 0 0 5 5
18.0 3 0 0 1 6
search 7 0 1 1 1
FILES 0 0 0 7 3
giant 1 0 0 7 2
public. 0 1 0 9 0
BROWN 0 0 0 2 8
Congressional 3 6 1 0 0
3,000 3 1 0 2 4
preserve 2 0 5 3 0
solution 1 1 6 1 1
consecutive 0 0 0 0 10
Southwest 1 0 0 7 2
tentative 0 2 1 5 2
Supermarkets 0 0 0 10 0
Partnership 1 0 0 4 5
AGENCY 2 3 0 3 2
0.3 2 2 4 0 2
Margaret 1 0 5 4 0
output. 6 4 0 0 0
1989 2 2 0 2 4
155 0 0 3 1 6
leased 1 0 0 3 6
Northwest 1 1 0 5 3
VIACOM 0 0 0 9 1
flexible 1 0 7 1 1
depended 3 0 2 3 2
speed 0 1 4 3 2
entering 4 0 2 2 2
Capel 0 0 1 5 4
individuals 1 1 2 6 0
projects. 4 0 0 3 3
UNDER 4 1 2 3 0
heart 3 2 2 3 0
looked 1 3 2 2 2
NEWS 1 0 0 5 4
Television 1 0 2 4 3
allows 1 3 3 1 2
packaging 0 0 0 6 4
door 2 3 0 5 0
badly 3 5 0 0 2
80,000 2 7 0 0 1
California, 1 1 0 8 0
payment, 0 2 0 5 3
bill, 0 10 0 0 0
broader 1 2 3 4 0
Tom 0 7 0 2 1
230 2 0 0 3 5
Dutch/Shell 8 0 0 0 2
fight 1 4 0 5 0
125,000 4 3 0 1 2
slump 3 0 2 0 5
work. 2 4 1 2 1
devaluation 0 1 9 0 0
sown 0 10 0 0 0
COURIER 0 0 0 9 1
loan. 1 0 0 6 3
ties 2 0 2 5 1
25. 3 0 1 3 3
PREFERRED 1 0 0 2 7
proposes 1 3 1 5 0
auction 0 0 8 2 0
institutions. 0 0 3 7 0
TV 0 0 0 8 2
CONTINENTAL 0 0 0 4 6
Occidental 4 0 0 3 3
2.11 0 0 0 0 10
1.82 0 0 0 0 10
effectively 3 0 4 2 1
wet 0 5 0 5 0
21.9 0 2 0 0 8
0.4 4 0 0 1 5
securities, 0 0 2 6 2
later. 1 3 2 4 0
ounces 0 0 0 9 1
Affairs 2 1 5 2 0
Sorghum 0 10 0 0 0
285,000 4 0 0 1 5
jump 3 1 1 0 5
booked 0 5 1 0 4
SHARPLY 0 2 0 1 7
outlook, 2 1 5 0 2
crops. 0 10 0 0 0
rise, 2 3 3 0 2
SPLITS 0 0 0 0 10
55,000 4 1 0 2 3
difficulty 5 1 2 2 0
5, 0 2 1 2 5
Sweden's 2 0 0 8 0
match 2 1 2 3 2
consideration. 3 2 0 5 0
2.15 0 0 0 1 9
Interim 0 0 3 0 7
broke 2 2 1 4 1
wide 1 2 5 0 2
&lt;CAWL.L> 0 0 0 9 1
unusual 1 1 0 1 7
totaling 1 1 0 4 4
crudes 10 0 0 0 0
AG, 0 0 1 5 4
link 2 1 2 5 0
missiles 10 0 0 0 0
OFFERED 0 0 8 2 0
DECISION 0 4 0 3 3
NOTE:1985 0 0 0 0 10
Roberts 0 5 0 3 2
airlines 0 0 0 9 1
restructuring, 1 0 2 4 3
process. 0 1 1 6 2
TWA's 0 0 0 10 0
hand 1 0 6 0 3
CORRECTED 0 0 0 5 5
Cyclops' 0 0 0 10 0
utilization 1 0 0 1 8
"B" 0 0 0 1 9
Delaware 0 0 0 8 2
APPROVE 0 0 0 10 0
D. 0 0 0 10 0
committee, 1 3 2 3 1
Co>, 2 0 1 6 1
amid 0 3 6 1 0
260 1 1 0 3 5
control. 0 0 0 9 1
Cie 2 0 0 4 4
TARGET 0 1 3 1 5
red 0 10 0 0 0
tonne. 0 10 0 0 0
dismissed 0 0 4 5 1
grant 0 2 1 4 3
und 0 0 0 4 6
1.43 3 0 0 0 7
TELEPHONE 0 0 0 5 5
delivered 3 4 0 3 0
necessary, 0 1 8 1 0
aspects 1 2 1 5 1
FAIRCHILD 0 0 0 7 3
ATLANTIC 0 0 0 2 8
SANTA 0 0 0 7 3
north 3 5 0 2 0
Mideast 10 0 0 0 0
rice, 0 10 0 0 0
Tuesday. 1 1 4 3 1
1.26 0 0 0 0 10
emerging 1 3 1 4 1
17.9 3 1 0 1 5
1989, 1 5 0 3 1
TWO-FOR-ONE 0 0 0 0 10
snow 0 10 0 0 0
favorable 0 3 0 1 6
Board, 0 4 3 2 1
easy 2 1 3 1 2
worse 0 2 3 2 2
enforcement 0 0 0 8 1
illegal 3 1 1 3 1
combat 5 2 1 1 0
Associates, 3 1 0 5 0
reaffirmed 2 0 2 3 2
developments. 2 0 4 1 2
barely 1 2 4 0 2
ventures 4 0 0 3 2
1.83 0 0 2 0 7
plantings 0 9 0 0 0
&lt;British 0 0 0 4 5
Columbia 0 0 0 2 7
deliver 2 5 0 2 0
mind 3 3 2 1 0
easier 1 2 4 2 0
CHANGE 3 0 2 1 3
RESEARCH 0 0 0 4 5
Periods 0 0 0 0 9
Nova 2 0 0 6 1
&lt;BP.L> 5 0 0 3 1
adopt 1 1 4 1 2
income, 0 2 1 0 6
provisions, 0 0 0 1 8
&lt;CHEM> 0 0 0 9 0
pro 0 0 0 4 5
RESERVE 2 5 1 1 0
"very 0 2 3 0 4
northeast 1 4 0 4 0
degrees 1 8 0 0 0
supports 1 2 3 3 0
superior 1 0 0 7 1
tendering 0 0 0 9 0
concert 0 0 4 5 0
fluctuation 0 1 8 0 0
24.1 0 0 0 0 9
Combined 1 2 1 1 4
Group> 1 0 0 7 1
31.9 0 0 0 0 9
875,000 0 1 0 1 7
successfully 3 0 2 2 2
POSSIBLE 0 1 1 6 1
rates," 0 0 9 0 0
mark. 0 0 6 0 3
inflation. 1 0 8 0 0
target. 2 0 2 3 2
BILL 1 6 2 0 0
GOOD 1 1 0 0 7
N.V. 0 0 0 5 4
sparked 2 4 0 2 1
off. 1 2 2 1 3
FALLS 0 1 5 0 3
29.8 0 0 0 1 8
38.1 0 0 0 2 7
20.1 0 0 0 1 8
gains. 1 0 2 1 5
OHIO 0 0 0 4 5
executed 0 0 1 8 0
crowns. 0 0 0 4 5
handling 0 5 0 4 0
36.3 0 4 0 0 5
bills, 0 2 7 0 0
CURRENT 1 0 6 0 2
stimulating 1 0 8 0 0
inflation, 0 0 9 0 0
Turning 0 0 5 0 4
drawing 4 1 1 0 3
performed 1 1 0 2 5
experienced 2 2 2 1 2
MOTORS 0 0 0 5 4
appeal 1 3 1 4 0
brewing 0 0 0 7 2
Revenue 3 1 0 0 5
290,000 0 2 1 0 6
0.1 2 2 0 0 5
investigation 0 0 0 4 5
compensation 1 2 0 3 3
Progressive 0 0 0 8 1
N.Z. 0 1 1 6 1
purchase, 0 0 2 6 1
frozen 2 1 1 2 3
rapidly 2 1 2 3 1
28.9 1 0 0 1 7
Worldwide 3 0 1 2 3
advertising 0 0 0 2 7
Companies 0 3 0 5 1
Oregon 0 2 0 5 2
Elders 1 1 0 5 2
Previously, 0 0 1 2 6
needs. 5 2 1 1 0
replacement 1 0 1 3 4
attempted 0 0 2 6 1
volatility 4 0 4 0 1
contracts. 1 4 2 0 2
center 1 0 1 4 3
draft 3 2 2 2 0
DATE 0 0 0 3 6
Shareholders 0 0 0 3 6
financing, 0 0 0 8 1
motion 1 0 0 8 0
lay 0 0 3 4 2
founded 0 1 0 6 2
requirements, 0 3 1 2 3
Software 0 0 0 4 5
B. 0 0 0 4 5
decides 0 3 0 4 2
Brazil. 4 0 1 2 2
greatly 1 2 1 1 4
Strait 6 0 0 1 2
Louis 0 4 0 5 0
bushels, 0 9 0 0 0
25.5 0 2 0 3 4
authorization 0 2 0 5 2
Construction 2 0 0 3 4
conglomerate 1 0 0 4 4
easily 0 2 4 3 0
holdings. 0 1 1 6 1
competitors 0 1 1 3 4
(to 2 2 4 0 1
10-year 1 3 3 2 0
11. 0 1 1 4 3
SHAMROCK 5 0 0 3 1
Alvite 9 0 0 0 0
revision 1 3 3 1 1
slower 1 1 3 0 4
0.5 1 0 5 0 3
"it 1 0 3 4 1
likelihood 2 1 1 3 2
afternoon, 0 0 8 1 0
pounds 1 2 3 0 3
incorporation 0 0 1 3 5
103 0 0 1 6 2
centers 1 0 0 5 3
closing. 0 0 0 7 2
Heavy 4 3 0 2 0
regions 0 5 0 2 2
concern, 0 1 0 7 1
Imports 1 4 1 1 2
BPD 8 0 0 1 0
MANUFACTURING 0 0 0 2 7
true 1 0 1 4 3
Today, 0 0 3 4 2
ANALYSTS 2 2 3 1 1
fiduciary 0 0 0 8 1
owed 2 0 3 2 2
11.25 0 0 1 7 1
valid 0 3 2 4 0
advisor, 0 0 0 8 1
entertainment 0 0 1 8 0
BOSTON 0 0 0 4 5
W. 2 1 0 4 2
4, 1 2 1 2 3
K 0 0 0 4 5
MART 0 0 0 3 6
Richfield 4 0 0 3 2
Hernandez 9 0 0 0 0
PROPERTY 1 0 0 7 1
succeeded 1 0 3 5 0
investing 1 0 2 5 1
quotas, 6 2 0 1 0
Joseph 0 0 0 6 3
Mercantile 5 0 2 0 2
live 0 3 5 1 0
P 0 0 1 3 5
past, 1 3 1 3 1
Series 0 0 0 5 4
document 1 1 2 4 1
Land 0 2 0 2 5
August. 1 2 2 1 3
lawmakers 1 7 0 0 1
media 1 2 0 5 1
3.17 0 2 0 0 7
"All 4 1 1 2 1
programs, 0 5 1 1 2
windfall 7 1 0 0 1
ARABIA 8 1 0 0 0
bigger 3 1 3 1 1
Hisham 9 0 0 0 0
draw 4 1 4 0 0
businessmen 2 0 6 1 0
refrain 2 0 7 0 0
OUTLOOK 1 1 4 0 3
HOLDERS 0 0 0 8 1
authorised 0 2 3 2 2
unissued 0 0 0 8 1
fees 1 0 0 8 0
assurance 1 1 0 5 2
Henry 1 0 2 4 2
CONTROLS 0 1 4 1 3
RISES 1 0 1 2 5
5-1/2 0 0 5 2 2
3-for-2 0 0 0 0 9
Baker's 0 0 5 4 0
seem 0 0 9 0 0
TREASURY 0 0 9 0 0
properties, 1 0 0 6 2
21.2 0 0 0 1 8
requests 0 3 0 6 0
REVERSE 0 0 0 0 9
Video 0 0 0 8 1
170,000 2 1 0 4 2
Brian 1 2 0 4 2
SPAIN 0 3 5 1 0
locations 0 2 0 5 2
Ga., 0 1 0 5 3
Managing 0 0 3 1 5
supervisory 0 0 0 5 4
provisions. 0 1 0 1 7
Nicholas 0 0 2 5 2
fit 1 0 1 7 0
Sour 9 0 0 0 0
Marathon 6 0 0 1 2
swap 0 0 6 3 0
GMT. 2 0 4 0 3
base. 2 0 1 4 2
29.5 1 0 0 1 7
BIG 2 1 3 0 3
24.5 0 0 0 0 9
higher, 3 2 1 1 2
expansion. 0 0 1 5 3
INSURED 0 0 0 0 9
Aluminium 0 0 0 2 7
Subroto 9 0 0 0 0
46.5 0 0 0 0 9
things, 0 0 0 7 2
violated 0 2 0 6 1
creditors, 0 0 1 6 2
entity 1 0 0 7 1
acquires 0 0 0 7 2
study, 4 3 1 1 0
MEET 3 1 4 1 0
haven't 0 5 2 1 1
16, 0 2 0 4 3
Exports 2 3 2 0 2
pick 2 0 5 2 0
plant. 2 3 0 1 3
ST> 0 0 0 4 5
4,000 2 3 0 2 2
confirm 3 1 3 2 0
32.7 0 0 0 1 8
US 0 0 0 5 4
medical 0 0 1 5 3
contain 2 2 2 2 1
28.2 1 1 0 1 6
quota. 9 0 0 0 0
4.133 9 0 0 0 0
bound 3 2 3 1 0
fulfill 1 1 3 4 0
imbalances. 0 1 8 0 0
Jordan 2 3 2 1 1
SHOE 0 0 0 4 5
uncertainties 0 1 2 0 6
Sunday 2 1 2 4 0
Thursday 2 3 0 4 0
Chief 0 0 0 6 3
Late 0 0 1 7 1
Vice 0 0 5 2 2
retailing 0 0 0 3 6
214 2 0 0 0 7
6.50 0 1 1 3 4
stockholder 1 0 0 4 4
pesos 0 0 1 6 2
Texas. 4 0 0 4 1
75,000 2 5 0 0 2
Organization 5 2 0 2 0
(of 3 1 1 4 0
22,000 0 3 0 0 6
problems, 4 1 0 2 2
42.5 0 0 0 2 7
Recent 0 3 4 1 1
creditors 1 0 2 4 2
type 1 2 1 3 2
&lt;National 0 0 1 5 3
Per-share 0 0 0 0 9
considerably 3 1 1 1 3
Scott 0 0 1 4 4
strengthening 0 0 4 2 3
1.18 0 0 1 0 8
Portland 0 6 0 2 1
hotels 0 0 1 5 3
Oklahoma 4 2 0 2 1
Nakasone 0 0 8 1 0
Senior 0 2 5 2 0
mentioned 2 0 3 4 0
this, 0 2 5 2 0
implement 2 4 2 1 0
1.73 0 1 0 1 7
INCREASED 2 1 0 1 5
mid 3 2 0 2 2
profitable. 0 2 0 4 3
obligation 1 0 1 3 4
consent 1 0 0 8 0
ANNUAL 1 0 0 1 7
performance. 1 1 1 1 5
reserved 0 2 0 7 0
responding 2 0 2 5 0
massive 0 0 8 0 1
scope 3 1 4 0 1
21.6 0 0 0 0 9
floated 0 0 4 2 3
signup 0 9 0 0 0
expectation 2 1 4 1 1
panel 0 4 1 4 0
Their 1 1 2 4 1
arrived 8 0 1 0 0
BANKAMERICA 0 0 0 4 5
120,000 1 4 0 0 4
12,000 1 3 0 4 1
low. 1 3 3 1 1
bidder 0 0 0 9 0
controversial 3 4 1 1 0
Sweden, 2 0 0 5 2
cargoes 5 4 0 0 0
Africa. 3 2 2 2 0
anticipation 2 1 2 3 1
trigger 2 1 3 3 0
reluctance 3 3 3 0 0
redeemed 0 2 0 4 3
restored 5 0 3 0 1
schedule 1 1 2 3 2
DUE 4 1 0 2 2
controls, 0 0 5 3 1
cabinet 4 2 1 2 0
framework 2 1 5 0 1
named, 2 2 2 2 1
ALLIED 0 0 1 5 3
Executive 0 1 0 5 3
Australia. 0 0 0 6 3
enlarged 0 0 0 6 3
One, 1 0 0 1 7
MTS 0 0 0 9 0
Now 2 1 2 3 1
deregulation 2 1 2 0 4
dominant 1 3 2 2 1
revenues, 6 0 0 0 3
4.50 0 2 0 4 3
Bay 4 0 0 4 1
divisions 1 0 0 3 5
moisture 0 9 0 0 0
closer 1 1 5 2 0
repeatedly 1 1 5 2 0
Jacques 0 1 3 3 2
Piedmont's 0 0 0 9 0
SWITCHED 0 9 0 0 0
relation 1 1 3 0 4
heads 1 0 0 5 3
Merchants 1 6 0 2 0
tendered, 0 0 0 9 0
marketable 0 1 0 2 6
then, 0 1 5 3 0
Process 1 0 0 7 1
pulp 0 0 0 4 5
valuing 0 0 0 8 1
centre 0 1 2 3 3
harvested 0 8 0 1 0
issues. 2 1 3 0 3
blamed 3 0 0 0 6
unveiled 0 0 5 4 0
privatisation 0 0 0 8 1
DISTILLATE 9 0 0 0 0
Ontario 0 4 0 5 0
divestiture 0 0 0 7 2
investors, 0 0 3 5 1
CLOSE 3 0 1 5 0
assumed 1 0 1 5 2
position, 0 0 2 6 1
Cyacq 0 0 0 9 0
2.07 1 1 0 0 7
"What 1 2 4 2 0
pressure, 3 1 4 1 0
implemented 4 0 2 0 3
Sri 0 9 0 0 0
19.7 2 0 0 0 7
specifically 2 0 3 2 2
keen 0 3 4 2 0
3.80 0 0 6 2 1
Commerzbank 0 0 2 5 2
Yesterday 4 0 3 2 0
LIFO 0 0 0 0 9
Ministers 4 2 3 0 0
autumn 1 3 4 0 1
contained 2 1 1 4 1
indicates 1 0 1 4 3
advisory 0 0 0 8 1
foresee 4 0 2 1 2
hundreds 3 3 0 1 2
Trust. 0 0 2 1 6
FED'S 0 0 8 1 0
reliance 7 0 1 1 0
counter 1 0 1 7 0
heading 2 2 0 2 3
restraining 2 0 1 6 0
USAir, 0 0 0 9 0
Icahn 1 0 0 8 0
40.5 0 0 0 0 9
tonnage 0 6 0 0 3
proceedings 0 3 0 5 1
&lt;HPR> 0 0 0 9 0
W 0 1 0 6 2
22.4 0 1 0 0 8
royalty 6 0 0 2 1
greatest 2 2 2 1 2
BANKING 0 0 1 3 5
hedge 1 0 7 0 1
prospects, 0 0 4 5 0
body 0 0 2 3 4
documents 0 1 0 8 0
STATES 0 2 1 3 3
23.2 1 0 0 1 7
Piedmont. 0 0 0 9 0
shortages 5 4 0 0 0
resolved 2 2 2 3 0
them, 1 1 1 5 1
1.53 1 2 0 0 6
Dollar, 0 1 7 0 1
moment 3 1 2 2 1
vehicles 1 0 1 3 4
12, 1 2 0 5 1
Supreme 1 0 0 6 2
interior 2 6 0 1 0
Ford 0 0 0 4 5
Qatar, 5 0 4 0 0
October, 2 3 0 1 3
26.0 0 1 0 0 8
drilled 9 0 0 0 0
records 0 1 1 5 2
NORTHERN 0 0 0 2 7
190 1 1 1 1 5
acceptance 1 0 1 5 2
competitiveness 4 1 3 1 0
Patrick 0 4 1 1 3
ASCS 0 9 0 0 0
sharing 2 1 0 2 4
SHELL 7 0 0 0 2
judgment 2 3 1 3 0
thousands 4 3 0 2 0
drastic 1 1 6 0 1
Netherlands 0 4 1 3 1
non-OPEC 9 0 0 0 0
supermarket 0 0 0 8 1
review. 2 0 3 4 0
referred 0 1 3 5 0
19.3 1 0 1 1 6
deliveries 2 5 0 0 2
standards 0 3 3 0 3
sixth 3 1 0 3 2
12. 1 0 1 3 4
Republic 0 1 0 6 2
restated. 0 0 0 0 9
shifts 0 1 7 0 0
react 1 0 4 2 1
imbalances 0 0 8 0 0
account, 0 0 5 0 3
end-1986 1 0 0 1 6
Retail 0 0 0 6 2
31.1 0 0 0 0 8
bill. 0 8 0 0 0
40.9 0 0 1 1 6
26.4 1 0 0 1 6
DYNAMICS 0 0 0 3 5
SUGAR 1 2 0 4 1
quota, 7 1 0 0 0
eliminated 0 2 2 1 3
grain. 0 8 0 0 0
conclude 0 1 2 4 1
parties. 0 0 1 6 1
25.0 0 3 0 0 5
65,000 0 1 0 4 3
2.03 1 0 1 0 6
Committee, 1 3 4 0 0
circumstances, 0 0 1 5 2
MULLS 0 1 1 6 0
45.6 0 0 0 0 8
AFRICA 2 3 0 2 1
450,000 0 4 0 1 3
28.6 0 0 0 3 5
acted 0 0 2 5 1
credibility 0 0 6 1 1
UTILITIES 0 0 0 0 8
17.0 0 2 0 0 6
secondary 4 1 0 2 1
offering, 0 0 0 4 4
PaineWebber 0 0 1 6 1
position. 2 0 2 3 1
90,000 1 3 0 0 4
Major 0 4 0 2 2
13.7 0 0 0 1 7
, 0 1 1 1 5
members, 4 0 0 3 1
settle 2 1 0 3 2
definite 0 2 3 2 1
whenever 1 1 4 1 1
STATION 1 0 0 7 0
stations 1 0 0 5 2
scheme 3 2 0 2 1
TAX-FREE 0 0 0 0 8
950,000 0 1 0 0 7
Reed 1 0 0 7 0
activities, 0 0 0 4 4
debentures. 0 0 0 4 4
UNICORP 0 0 0 5 3
31.2 0 1 0 0 7
qtr, 0 0 0 0 8
LAKE 0 0 0 2 6
Railway 0 0 0 7 1
Buenos 0 8 0 0 0
slight 0 3 3 2 0
hectares, 0 8 0 0 0
DOME 0 0 0 3 5
auditors 0 0 0 0 8
High 0 1 0 5 2
imminent 0 2 3 3 0
clients. 1 0 1 5 1
Tuesday, 1 1 4 1 1
thinks 0 0 5 3 0
concept 0 2 4 1 1
forecast. 0 1 0 1 6
figure. 3 1 0 0 4
SCIENTIFIC 0 0 0 3 5
issue, 2 1 3 2 0
lines. 1 0 0 6 1
LICENCES 0 8 0 0 0
FREE 1 6 0 0 1
cars 0 2 0 2 4
corresponding 0 3 2 0 3
information. 0 0 0 7 1
Sir 0 0 0 4 4
9, 0 1 5 1 1
America's 0 0 2 6 0
Brands 0 0 0 5 3
2,500,000 0 0 0 4 4
weather. 1 5 0 0 2
3.66 1 2 0 1 4
approvals, 1 0 0 7 0
shortly. 0 0 0 6 2
Minnesota 0 4 0 1 3
shipment, 1 7 0 0 0
AIRLINES 0 0 0 6 2
seven-day 0 0 8 0 0
guidelines 0 0 5 0 3
Realty 0 0 0 5 3
3.75 0 0 1 4 3
which, 0 0 3 3 2
brand 0 0 0 7 1
340 0 0 1 4 3
1.42 2 1 1 0 4
6-1/8 0 0 8 0 0
injection 1 0 4 2 1
2-1/2 0 0 0 2 6
AGO 5 2 0 0 1
date, 2 0 0 4 2
Time 0 0 0 5 3
visible 0 1 4 2 1
output, 6 2 0 0 0
Broken 1 1 0 4 2
upturn 2 0 3 0 3
fill 4 0 0 1 3
conjunction 2 0 2 2 2
consumption, 4 2 2 0 0
Jacobs 0 0 0 7 1
only. 0 2 0 5 1
July, 1 2 1 3 1
27.0 0 2 0 0 6
premiums 0 2 0 1 5
&lt;San 0 0 0 8 0
California. 2 0 0 5 1
&lt;DD> 3 0 0 3 2
Midwest 0 2 0 4 2
can't 0 0 3 5 0
board's 0 0 0 8 0
23.7 0 1 0 0 7
Alberta 3 0 0 4 1
arms 0 1 2 4 1
17.2 2 0 0 0 6
CONRAC 0 0 0 8 0
Overseas 1 1 0 3 3
comparison 3 1 0 0 4
DIAMOND 5 0 0 2 1
45,000 1 2 1 1 3
Colorado 0 1 0 6 1
OUT 2 0 3 2 1
tighten 2 1 5 0 0
February's 1 3 4 0 0
first-quarter 0 0 1 0 7
Dean 1 2 1 2 2
activity, 1 2 3 0 2
tightening 2 2 3 0 1
electrical 0 0 2 3 3
gains, 2 0 3 0 3
afford 3 2 2 0 1
enhanced 4 0 0 1 3
voluntary 1 2 0 2 3
lesser 1 0 3 3 1
amend 1 1 0 4 2
MCA 0 0 0 7 1
separately 1 0 0 7 0
Goldman 1 0 0 4 3
film 0 0 0 5 3
concessions 0 1 0 6 1
Peking 3 5 0 0 0
possible, 0 5 2 1 0
CONSIDERING 0 0 3 5 0
HEAVY 2 5 0 0 1
syndicate 0 0 0 8 0
exist 2 4 0 1 1
employees, 0 1 0 6 1
customers, 2 0 2 3 1
suppliers 4 2 0 2 0
SHIPS 1 7 0 0 0
AUSTRALIA 1 2 0 3 2
mine 0 0 0 5 3
7.0 0 3 0 2 3
Star 0 0 0 7 1
hundred 2 1 1 2 2
dollars. 0 1 6 1 0
153 1 1 6 0 0
BEGINS 1 0 2 5 0
24.60 0 0 0 8 0
Has 3 1 0 4 0
implementing 0 3 3 0 2
consisting 0 1 0 5 2
From 1 1 1 1 4
&lt;VIA> 0 0 0 7 1
Viacom 0 0 0 8 0
company," 0 0 0 8 0
dipped 2 0 2 2 2
costly 4 0 0 3 1
31.8 0 0 0 1 7
DLRS/SHR 0 0 0 7 1
L. 0 1 0 7 0
Grisanti 8 0 0 0 0
partner. 1 0 0 6 1
outlook. 3 1 0 0 4
Warburg 0 0 3 5 0
S.A. 2 1 0 4 1
context 2 3 2 1 0
methods 2 1 4 0 1
zone 4 1 3 0 0
futures, 3 3 2 0 0
S 0 0 1 6 1
Wood 2 0 0 3 3
livestock 0 4 0 4 0
maker, 0 0 0 8 0
Manufacturers 0 0 0 7 1
32.4 1 0 0 0 7
durum 0 8 0 0 0
vessel 5 3 0 0 0
Shipping 2 1 0 5 0
CALLS 2 2 3 0 1
Sheikh 8 0 0 0 0
7.25 6 0 1 0 1
BELL 0 0 0 5 3
recognized 0 3 2 1 2
Accounting 0 5 0 0 3
diplomats 3 2 2 1 0
critical 4 2 0 2 0
defending 3 1 2 0 2
postpone 1 0 1 5 1
Nationale 1 1 0 4 2
earmarked 1 5 0 2 0
215 1 2 1 2 2
&lt;AVA> 0 0 0 8 0
Jim 1 3 1 3 0
minerals 1 0 0 5 2
flow. 0 0 0 1 7
showed. 1 2 5 0 0
balanced 1 0 4 0 3
authorities. 0 0 1 5 2
one-for-five 0 0 0 0 8
DROP 2 1 2 0 3
down, 1 0 7 0 0
further, 0 1 3 1 3
dlr. 2 0 0 1 5
Department, 0 3 1 4 0
regard 1 1 3 3 0
yen," 0 0 8 0 0
investments. 0 0 1 0 7
Today's 1 1 6 0 0
six, 0 0 2 4 2
starts 2 1 1 2 2
Corporate 0 0 0 4 4
unfair 0 4 1 3 0
ourselves 0 1 4 1 2
SELLING 1 0 0 7 0
examine 2 2 1 3 0
Saturday 1 1 6 0 0
6-1/4 1 0 5 0 2
COSTS 1 0 0 0 7
entirely 0 1 2 3 2
Emery 0 0 0 8 0
Purolator's 0 0 0 8 0
Refining 4 0 0 2 2
USX 5 0 0 3 0
168 2 0 2 1 3
CALIFORNIA 0 0 0 3 5
mention 2 0 3 2 1
Drug 0 0 0 5 3
unrelated 1 0 0 6 1
Colombia 5 3 0 0 0
Banner 0 0 0 8 0
111 0 2 1 2 3
flights 0 0 0 5 3
planes 4 0 0 2 2
confirmation 4 2 1 0 1
fluctuate 1 0 6 0 1
66.2 1 0 0 0 7
Feed 0 8 0 0 0
Tax-Free 0 0 0 0 8
Loss 0 0 0 0 8
withdrawn 1 0 0 4 3
employee 0 0 0 4 4
Van 1 2 0 3 2
SECRETARY 5 0 3 0 0
SUPPLY 0 1 2 1 4
72,000 0 0 0 0 8
24.8 1 0 0 1 6
DESPITE 1 2 1 0 4
QUALIFIED 0 0 0 0 8
LYNG 0 8 0 0 0
obviously 0 1 1 6 0
prompt 1 4 0 2 1
1.37 0 0 0 0 8
formally 0 1 1 5 1
WILLIAMS 0 0 0 5 3
employed 1 1 0 4 2
Republican 1 7 0 0 0
agreement," 3 1 3 1 0
Securities, 0 1 5 2 0
meaningful 1 0 4 3 0
Frank 4 0 0 3 1
adjusting 0 1 2 0 5
180,000 3 0 0 2 3
marked 0 2 4 0 2
farmland 0 8 0 0 0
ARAB 3 0 5 0 0
